name of the body,position x,position y,position z
neptune,16.5761,-25.1531,0.135976
sun,0.000795057,-0.00403742,-1.18589e-06
jupiter,4.3544,2.3478,-0.107246
saturn,6.77295,6.217,-0.377481
uranus,14.1951,-13.9668,-0.235947
neptune,16.5856,-25.1467,0.135626
sun,0.000811349,-0.00406685,-1.44762e-06
jupiter,4.34083,2.37335,-0.107048
saturn,6.75807,6.23197,-0.377149
uranus,14.205,-13.9572,-0.236041
neptune,16.5951,-25.1403,0.135275
sun,0.000827787,-0.0040962,-1.71322e-06
jupiter,4.32711,2.39883,-0.106846
saturn,6.74315,6.24692,-0.376816
uranus,14.215,-13.9476,-0.236134
neptune,16.6046,-25.1339,0.134925
sun,0.000844369,-0.00412546,-1.9827e-06
jupiter,4.31325,2.42423,-0.106641
saturn,6.7282,6.26183,-0.376481
uranus,14.225,-13.938,-0.236228
neptune,16.6141,-25.1275,0.134574
sun,0.000861095,-0.00415464,-2.25604e-06
jupiter,4.29925,2.44955,-0.106432
saturn,6.71322,6.27671,-0.376144
uranus,14.2349,-13.9284,-0.236321
neptune,16.6236,-25.1211,0.134224
sun,0.000877965,-0.00418374,-2.53323e-06
jupiter,4.28512,2.47479,-0.10622
